data;id;command
2020-10-13;1396622083;/start
2020-10-13;1396622083;/start
2020-10-13;1396622083;/country
2020-10-13;1396622083;Ukraine
2020-10-13;1396622083;/statistics
2020-10-13;1396622083;/start
2020-10-13;1396622083;/start
2020-10-13;1396622083;/country
2020-10-13;1396622083;Ukraine
2020-10-13;1396622083;/contacts
2020-10-13;1396622083;/statistics
2020-10-13;1396622083;/help
2020-10-13;1396622083;/country
2020-10-13;1396622083;UKRAINE
2020-10-13;782881084;/start
2020-10-13;782881084;/start
2020-10-13;782881084;/country
2020-10-13;782881084;USA
2020-10-13;782881084;Russia
2020-10-13;782881084;/country
2020-10-13;782881084;/country
2020-10-13;782881084;/start
2020-10-13;782881084;/start
2020-10-13;782881084;/country
2020-10-13;782881084;Canada
2020-10-13;782881084;/statistics
2020-10-13;782881084;/help
2020-10-13;782881084;/contacts
2020-10-13;782881084;Fff
2020-10-13;782881084;/contacts
2020-10-13;782881084;Fgh
2020-10-13;782881084;10
2020-10-13;782881084;/statistics
2020-10-13;782881084;!123 1
2020-10-13;782881084;!666
2020-10-13;782881084;!666
2020-10-13;782881084;!666
2020-10-13;782881084;666
2020-10-13;1396622083;666
2020-10-13;1396622083;/country
2020-10-13;1396622083;UKRAINE
2020-10-13;1396622083;666
2020-10-13;782881084;666 1 пользователи
2020-10-13;782881084;666
2020-10-13;782881084;777
2020-10-13;782881084;Чршалт
2020-10-13;782881084;666 1 txt
2020-10-13;1396622083;44
2020-10-13;1396622083;/help
2020-10-13;1396622083;/statistics
2020-10-13;1396622083;/contacts
2020-10-13;1396622083;/country
2020-10-13;1396622083;china
2020-10-13;1396622083;666 2 команды
2020-10-13;1396622083;!
2020-10-13;1396622083;666 1 команды txt
2020-10-13;1396622083;/statistics
2020-10-13;1396622083;/help
2020-10-13;1396622083;/start
2020-10-13;1396622083;/start
2020-10-13;1396622083;/country
2020-10-13;1396622083;esrail
2020-10-13;1396622083;germany
2020-10-13;1396622083;russia
2020-10-13;1396622083;Ukraine
2020-10-13;1396622083;/contacts
2020-10-13;1396622083;/contacts
2020-10-13;1396622083;/country
2020-10-13;1396622083;Ukraine
2020-10-13;1396622083;/country
2020-10-13;1396622083;Ukraine
2020-10-13;1396622083;/statistics
